name,score
discount_0.95,14.0
discount_0.95,49.0
discount_0.95,8.0
discount_0.95,25.0
discount_0.95,22.0
discount_0.95,45.0
discount_0.95,11.0
discount_0.95,1.0
discount_0.95,10.0
discount_0.95,6.0
discount_0.95,11.0
discount_0.95,13.0
discount_0.95,19.0
discount_0.95,26.0
discount_0.95,22.0
discount_0.95,18.0
discount_0.95,11.0
discount_0.95,58.0
discount_0.95,9.0
discount_0.95,15.0
discount_0.95,2.0
discount_0.95,3.0
discount_0.95,44.0
discount_0.95,35.0
discount_0.95,20.0
discount_0.95,25.0
discount_0.95,44.0
discount_0.95,4.0
discount_0.95,11.0
discount_0.95,12.0
discount_0.95,2.0
discount_0.95,50.0
discount_0.95,41.0
discount_0.95,15.0
discount_0.95,38.0
discount_0.95,8.0
discount_0.95,22.0
discount_0.95,62.0
discount_0.95,67.0
discount_0.95,25.0
discount_0.95,16.0
discount_0.95,5.0
discount_0.95,7.0
discount_0.95,58.0
discount_0.95,34.0
discount_0.95,23.0
discount_0.95,38.0
discount_0.85,26.0
discount_0.85,2.0
discount_0.85,97.0
discount_0.85,100.0
discount_0.85,41.0
discount_0.85,43.0
discount_0.85,100.0
discount_0.85,98.0
discount_0.85,26.0
discount_0.85,4.0
discount_0.85,14.0
discount_0.85,44.0
discount_0.85,52.0
discount_0.85,100.0
discount_0.85,27.0
discount_0.85,88.0
discount_0.85,72.0
discount_0.85,100.0
discount_0.85,5.0
discount_0.85,95.0
discount_0.85,100.0
discount_0.85,49.0
discount_0.85,14.0
discount_0.85,23.0
discount_0.85,29.0
discount_0.85,73.0
discount_0.85,58.0
discount_0.85,11.0
discount_0.85,5.0
discount_0.85,10.0
discount_0.85,58.0
discount_0.85,17.0
discount_0.85,12.0
discount_0.85,65.0
discount_0.85,26.0
discount_0.85,57.0
discount_0.85,12.0
discount_0.85,5.0
discount_0.85,100.0
discount_0.85,46.0
discount_0.85,41.0
discount_0.85,39.0
discount_0.85,57.0
discount_0.85,33.0
discount_0.85,22.0
discount_0.85,63.0
discount_0.85,3.0
discount_0.85,16.0
discount_0.85,15.0
discount_0.85,20.0
discount_0.85,31.0
discount_0.85,100.0
discount_0.85,37.0
discount_0.85,8.0
discount_0.85,43.0
discount_0.85,100.0
discount_0.85,4.0
discount_0.85,45.0
discount_0.85,71.0
discount_0.85,61.0
discount_0.85,9.0
discount_0.85,11.0
discount_0.85,4.0
discount_0.85,58.0
discount_0.85,100.0
discount_0.85,16.0
discount_0.85,34.0
discount_0.85,52.0
discount_0.85,100.0
discount_0.85,92.0
discount_0.85,75.0
discount_0.85,88.0
discount_0.85,100.0
discount_0.85,4.0
discount_0.85,17.0
discount_0.85,100.0
discount_0.85,32.0
discount_0.85,25.0
discount_0.85,32.0
discount_0.85,13.0
discount_0.85,14.0
discount_0.85,28.0
discount_0.85,16.0
discount_0.85,13.0
discount_0.85,35.0
discount_0.85,68.0
discount_0.85,27.0
discount_0.85,100.0
discount_0.85,9.0
discount_0.85,15.0
discount_0.85,100.0
discount_0.85,34.0
discount_0.85,23.0
discount_0.85,94.0
discount_0.85,44.0
discount_0.85,100.0
discount_0.85,33.0
discount_0.85,53.0
discount_0.85,63.0
discount_0.85,3.0
discount_0.98,7.0
discount_0.98,97.0
discount_0.98,100.0
discount_0.98,84.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,8.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,74.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,59.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,59.0
discount_0.98,100.0
discount_0.98,73.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,62.0
discount_0.98,2.0
discount_0.98,100.0
discount_0.98,1.0
discount_0.98,66.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
